,Country,2010_x,2011_x,2012_x,2013_x,2014_x,Grand Total,Country Code_x,2010_y,2011_y,2012_y,2013_y,2014_y,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,Country Code_y,2010_x,2011_x,2012_x,2013_x,2014_x,Country Code_x,2010_y,2011_y,2012_y,2013_y,2014_y,Country Code_y,2010,2011,2012,2013,2014
62,russian federation,319.21,299.68,285.51,273.97,259.22,1674.51,RUS,1.567,1.5819999999999999,1.6909999999999998,1.7069999999999999,1.75,247,326,73,11.5,RUS,68.84121951,69.68390244,70.07219512,70.57878049,70.74365854,RUS,142849449.0,142960868.0,143201676.0,143506911.0,143819666.0,RUS,16.79999924,15.30000019,15.0,14.10000038,12.89999962
63,serbia,234.48,243.45,234.53,217.73,216.78,1352.94,SRB,1.4,1.4,1.45,1.43,1.46,283,131,127,9.6,SRB,74.33658537,74.53658537,74.83658537,75.18536585,75.33658537,SRB,7291436.0,7234099.0,7199077.0,7164132.0,7130576.0,SRB,45.5,50.40000153,50.59999847,49.70000076,49.5
64,singapore,129.23,116.96,141.62,137.87,131.78,766.75,SGP,1.15,1.2,1.29,1.19,1.25,60,12,11,1.5,SGP,81.54146341,81.74390244,81.99512195,82.24634146,82.49512195,SGP,5076732.0,5183688.0,5312437.0,5399162.0,5469724.0,SGP,9.899999618999999,9.199999809,9.0,9.0,9.600000382000001
65,slovenia,265.59,281.66,279.74,283.02,240.37,1615.19,SVN,1.57,1.56,1.58,1.55,1.58,270,51,276,10.6,SVN,79.42195122,79.97073171,80.12439024,80.32195122,81.07804878,SVN,2048583.0,2052843.0,2057159.0,2059953.0,2061980.0,SVN,14.60000038,15.80000019,20.60000038,22.79999924,20.79999924
66,south africa,13.09,9.31,13.56,14.9,15.08,78.94,ZAF,2.588,2.572,2.5540000000000003,2.533,2.51,225,76,81,8.2,ZAF,55.888000000000005,57.201,58.545,59.83,60.993,ZAF,51584663.0,52263516.0,52998213.0,53767396.0,54539571.0,ZAF,50.79999924,50.09999847,52.20000076,51.40000153,52.59999847
67,spain,87.44,88.59,96.88,101.32,104.35,575.96,ESP,1.37,1.34,1.32,1.27,1.32,284,157,112,10.0,ESP,81.62682927,82.47560976,82.42682927,83.07804878,83.22926829,ESP,46576897.0,46742697.0,46773055.0,46620045.0,46480882.0,ESP,42.5,47.09999847,54.29999924,57.09999847,57.90000153
68,suriname,425.3,353.31,454.11,286.8,357.34,1876.86,SUR,2.52,2.495,2.47,2.445,2.421,128,178,7,5.6,SUR,70.335,70.578,70.79,70.976,71.138,SUR,526103.0,531589.0,537077.0,542540.0,547928.0,SUR,20.70000076,19.0,17.39999962,15.5,17.89999962
69,sweden,146.54,141.77,148.11,158.2,149.05,1031.81,SWE,1.98,1.9,1.91,1.89,1.88,152,60,186,7.2,SWE,81.45121951,81.80243902,81.70487805,81.95609756,82.25365854,SWE,9378126.0,9449213.0,9519374.0,9600379.0,9696110.0,SWE,25.20000076,23.20000076,24.20000076,23.79999924,22.79999924
70,switzerland,160.52,168.22,165.39,170.26,162.1,991.15,CHE,1.52,1.52,1.52,1.52,1.54,185,100,280,10.2,CHE,82.24634146,82.69512195,82.69756098,82.79756098,83.19756098,CHE,7824909.0,7912398.0,7996861.0,8089346.0,8188649.0,CHE,7.6999998089999995,7.599999905,8.5,8.800000191,8.699999809
71,thailand,80.5,77.59,80.69,79.56,76.96,553.77,THA,1.547,1.5419999999999998,1.534,1.524,1.5119999999999998,99,258,1,6.4,THA,73.923,74.197,74.446,74.678,74.895,THA,67208808.0,67530130.0,67843979.0,68143065.0,68416772.0,THA,4.0,2.900000095,3.099999905,3.200000048,3.900000095
72,turkey,31.69,23.07,28.4,35.42,30.83,177.88,TUR,2.155,2.1390000000000002,2.124,2.108,2.09,51,22,7,1.4,TUR,74.154,74.437,74.711,74.977,75.23899999999999,TUR,72326914.0,73409455.0,74569867.0,75787333.0,77030628.0,TUR,21.20000076,17.89999962,17.10000038,16.5,17.70000076
73,turkmenistan,45.75,31.63,30.6,23.29,28.15,187.9,TKM,2.833,2.892,2.9360000000000004,2.958,2.9560000000000004,19,71,32,2.2,TKM,66.657,66.928,67.167,67.375,67.55199999999999,TKM,5087210.0,5174061.0,5267839.0,5366277.0,5466241.0,TKM,20.60000038,21.0,20.70000076,20.60000038,20.20000076
74,ukraine,263.07,264.0,268.47,,250.5,1290.76,UKR,1.443,1.459,1.531,1.506,1.4980000000000002,206,237,45,8.9,UKR,70.26536585,70.80926829,70.94414634,71.1595122,71.18658537,UKR,45870700.0,45706100.0,45593300.0,45489600.0,45271947.0,UKR,17.39999962,19.0,17.29999924,16.0,16.89999962
75,united arab emirates,22.71,,,,,22.71,ARE,1.869,1.841,1.82,1.801,1.7830000000000001,16,135,5,2.8,ARE,76.344,76.498,76.648,76.798,76.94800000000001,ARE,8270684.0,8672475.0,8900453.0,9006263.0,9070867.0,ARE,9.800000191,9.800000191,9.800000191,9.899999618999999,10.0
76,united kingdom,77.41,78.29,79.47,84.92,83.93,490.76,GBR,1.92,1.91,1.92,1.83,1.81,219,126,195,10.4,GBR,80.40243902,80.95121951,80.90487805,81.00487805,81.30487805,GBR,62766365.0,63258918.0,63700300.0,64128226.0,64613160.0,GBR,19.60000038,20.10000038,21.39999962,20.29999924,16.70000076
77,uruguay,257.43,,264.35,249.09,248.64,1289.53,URY,2.0780000000000003,2.063,2.048,2.033,2.019,115,35,220,6.6,URY,76.58800000000001,76.73899999999999,76.89,77.04,77.19,URY,3374415.0,3385624.0,3396777.0,3408005.0,3419546.0,URY,20.79999924,17.89999962,18.5,18.10000038,19.10000038
78,uzbekistan,63.23,67.14,77.53,78.86,85.12,371.88,UZB,2.342,2.2359999999999998,2.193,2.35,2.457,25,101,8,2.4,UZB,70.005,70.322,70.604,70.844,71.039,UZB,28562400.0,29339400.0,29774500.0,30243200.0,30757700.0,UZB,20.60000038,20.60000038,20.60000038,20.5,20.29999924
